asin,name,brand,price,rating,total_ratings,file_source,ASIN,ASIN_origin,Amperage Capacity,Amperage Capacity_origin,Batteries Included?,Batteries Included?_origin,Batteries Required?,Batteries Required?_origin,Best Sellers Rank,Best Sellers Rank_origin,BestSellersRank,BestSellersRank_origin,Brand,Brand_origin,Brand Name,Brand Name_origin,Cable Length,Cable Length_origin,CableType,CableType_origin,Color,Color_origin,CompatibleDevices,CompatibleDevices_origin,Conductor_Count,Conductor_Count_origin,Connector Type,Connector Type_origin,ConnectorGender,ConnectorGender_origin,ConnectorType,ConnectorType_origin,Contact Material,Contact Material_origin,ContactMaterial,ContactMaterial_origin,Country of Origin,Country of Origin_origin,CountryofOrigin,CountryofOrigin_origin,Customer Reviews,Customer Reviews_origin,CustomerReviews,CustomerReviews_origin,Date First Available,Date First Available_origin,DateFirstAvailable,DateFirstAvailable_origin,Description,Description_origin,Ethernetcablecategory,Ethernetcablecategory_origin,Extension Length,Extension Length_origin,Finish,Finish_origin,Finish Type,Finish Type_origin,FinishType,FinishType_origin,Gauge,Gauge_origin,Global Trade Identification Number,Global Trade Identification Number_origin,Included Components,Included Components_origin,Included s,Included s_origin,InputCurrent,InputCurrent_origin,Installation Method,Installation Method_origin,InstallationType,InstallationType_origin,Insulation Material,Insulation Material_origin,InsulationMaterial,InsulationMaterial_origin,Is Discontinued By Manufacturer,Is Discontinued By Manufacturer_origin,IsDiscontinuedByManufacturer,IsDiscontinuedByManufacturer_origin,Item Dimensions  LxWxH,Item Dimensions  LxWxH_origin,Item Package Dimensions L x W x H,Item Package Dimensions L x W x H_origin,Item Package Quantity,Item Package Quantity_origin,Item Weight,Item Weight_origin,Item model number,Item model number_origin,ItemWeight,ItemWeight_origin,Itemmodelnumber,Itemmodelnumber_origin,Manufacturer,Manufacturer_origin,Material,Material_origin,Maximum Voltage,Maximum Voltage_origin,Measurement System,Measurement System_origin,Model Name,Model Name_origin,No. of wires,No. of wires_origin,No.ofwires,No.ofwires_origin,Number Of Pieces,Number Of Pieces_origin,Number of Cable Strands,Number of Cable Strands_origin,Number of Items,Number of Items_origin,NumberofCableStrands,NumberofCableStrands_origin,Package Dimensions,Package Dimensions_origin,Package Weight,Package Weight_origin,PackageDimensions,PackageDimensions_origin,Part Number,Part Number_origin,Pattern,Pattern_origin,Plug Format,Plug Format_origin,Power Source,Power Source_origin,Product Dimensions,Product Dimensions_origin,ProductDimensions,ProductDimensions_origin,Shape,Shape_origin,Size,Size_origin,Specification Met,Specification Met_origin,Stud Size,Stud Size_origin,StudSize,StudSize_origin,Style,Style_origin,Suggested Users,Suggested Users_origin,Switch Style,Switch Style_origin,Temperature Rating,Temperature Rating_origin,Terminal,Terminal_origin,UPC,UPC_origin,Unit Count,Unit Count_origin,Usage,Usage_origin,Voltage,Voltage_origin,Wattage,Wattage_origin,certification,certification_origin,color,color_origin,conductor,conductor_origin,current,current_origin,dimensions,dimensions_origin,gauge,gauge_origin,length,length_origin,material,material_origin,package_weight,package_weight_origin,strands,strands_origin,temperature,temperature_origin,variant_size,variant_size_origin,voltage,voltage_origin,voltage_rating,voltage_rating_origin,wire_count,wire_count_origin
B0B19HVHHZ,BINNEKER 24 Gauge PVC 1007 Solid Electric Wire Red and Black Each 50 ft 24 AWG 1007 Hook Up Tinned Copper Wire,BINNEKER,12.05,4.6,142.0,B0B19HVHHZ_product_details.json,B0B19HVHHZ,{'details_table': 'B0B19HVHHZ'},,,No,{'details_table': 'No'},No,{'details_table': 'No'},"#79,510 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #417 in Electrical Wire","{'details_table': '#79,510 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #417 in Electrical Wire'}",,,BINNEKER,"{'overview': 'BINNEKER', 'details_table': 'BINNEKER'}",,,,,,,"⚠️CONFLICT⚠️ Red, Black","{'overview': 'Red,Black', 'details_table': 'Red, Black'}",,,,,,,,,,,,,,,China,{'details_table': 'China'},,,"4.6  4.6 out of 5 stars    
    142 ratings   


 4.6 out of 5 stars",{'details_table': '4.6  4.6 out of 5 stars    \n    142 ratings   \n\n\n 4.6 out of 5 stars'},,,"May 14, 2022","{'details_table': 'May 14, 2022'}",,,,,,,,,,,,,,,⚠️CONFLICT⚠️ 20,"{'variant_info': '20', 'variants': '30'}",,,,,,,,,,,,,,,,,,,,,,,,,,,9.1 ounces,{'details_table': '9.1 ounces'},02SO2450C2,{'details_table': '02SO2450C2'},,,,,binneker.com,{'details_table': 'binneker.com'},⚠️CONFLICT⚠️ 24 AWG PVC Solid Wire,"{'overview': '24AWGPVCSolidWire', 'details_table': '24 AWG PVC Solid Wire'}",,,,,,,1,{'details_table': '1'},,,,,Single Strand,{'details_table': 'Single Strand'},,,SingleStrand,{'overview': 'SingleStrand'},3.03 x 2.76 x 2.72 inches,{'details_table': '3.03 x 2.76 x 2.72 inches'},,,,,02SO2450C2,{'details_table': '02SO2450C2'},,,,,,,,,,,,,2 Colors Each 50ft,{'details_table': '2 Colors Each 50ft'},,,,,,,,,,,,,,,,,721678272444,{'details_table': '721678272444'},,,,,⚠️CONFLICT⚠️ 300 Volts,"{'overview': '300Volts', 'details_table': '300 Volts'}",,,Flame retardant,{'features': 'Flame retardant'},,,,,,,,,24,{'features': '24'},,,tinned copper,{'features': 'tinned copper'},,,,,105,{'features': '105'},,,,,,,,
B0CN9FNFZC,"18 Gauge 8 Conductor Electrical Wire, 50FT/15M Thermostat Wire,18AWG PVC Stranded Tinned Copper 8 Wire Cable, Flexible Extension Cord",NAHCVFM,45.98,4.8,34.0,B0CN9FNFZC_product_details.json,B0CN9FNFZC,{'details_table': 'B0CN9FNFZC'},,,,,,,,,"#203,132inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,021inElectricalWire","{'details_table': '#203,132inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,021inElectricalWire'}",NAHCVFM,{'overview': 'NAHCVFM'},,,,,,,black,{'overview': 'black'},,,,,,,,,,,,,,,,,China,{'details_table': 'China'},,,4.84.8outof5stars34ratings,{'details_table': '4.84.8outof5stars34ratings'},,,"November14,2023","{'details_table': 'November14,2023'}",,,,,,,,,,,,,18.0,{'overview': '18.0'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAHCVFM,{'details_table': 'NAHCVFM'},"PolyvinylChloride,Copper","{'overview': 'PolyvinylChloride,Copper'}",,,,,,,,,,,,,,,,,1,{'overview': '1'},,,,,10.67x9.76x3.03inches;3.59Pounds,{'details_table': '10.67x9.76x3.03inches;3.59Pounds'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red,{'features': 'Red'},8,{'features': '8'},7.5,{'features': '7.5'},,,18,{'features': '18'},50,{'features': '50'},PVC,{'features': 'PVC'},,,34,{'features': '34'},,,50,{'features': '50'},300,{'features': '300'},,,8,{'features': '8'}
B0CX1J73YB,"40PCS Waterproof Outdoor Wire Electrical Connectors,Sealant Twist Nuts Caps Cable Terminal Connector Gel for Landscape Light, Building Application, Wet Location Installation, 22AWG-14AWG, Small Size",Gibbab,9.99,4.4,132.0,B0CX1J73YB_product_details.json,B0CX1J73YB,{'details_table': 'B0CX1J73YB'},,,,,,,,,"#7,846inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#34inElectricalWire","{'details_table': '#7,846inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#34inElectricalWire'}",,,,,,,,,Black,{'overview': 'Black'},,,,,,,,,Twist,{'overview': 'Twist'},,,Copper,{'overview': 'Copper'},,,China,{'details_table': 'China'},,,4.44.4outof5stars132ratings,{'details_table': '4.44.4outof5stars132ratings'},,,"March4,2024","{'details_table': 'March4,2024'}",,,,,,,,,,,,,14,{'overview': '14'},,,,,,,,,,,,,,,PolyvinylChloride,{'overview': 'PolyvinylChloride'},,,,,,,,,,,,,,,,,GB-40-B,{'details_table': 'GB-40-B'},Gibbab,{'details_table': 'Gibbab'},,,,,,,,,,,,,,,,,,,,,,,,,7.01x4.76x0.63inches;3.84ounces,{'details_table': '7.01x4.76x0.63inches;3.84ounces'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,{'from_the_manufacturer': 'Black'},,,80,{'from_the_manufacturer': '80'},,,⚠️CONFLICT⚠️ 22,"{'from_the_manufacturer': '22', 'features': '14'}",,,PVC,{'features': 'PVC'},,,,,,,,,600,{'features': '600'},,,,
B000UECHCA,"Gardner Bender AML-200 2PK 6AWG 1/4"" HD Lug, 1/4-Inch, No Color",Gardner Bender,9.26,4.6,19.0,B000UECHCA_product_details.json,B000UECHCA,{'details_table': 'B000UECHCA'},,,No,{'details_table': 'No'},No,{'details_table': 'No'},"#636,922 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #4,234 in Electrical Wire","{'details_table': '#636,922 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #4,234 in Electrical Wire'}",,,Gardner Bender,{'details_table': 'Gardner Bender'},,,,,,,⚠️CONFLICT⚠️ No Color,"{'overview': 'NoColor', 'details_table': 'No Color'}",,,,,Twist,{'details_table': 'Twist'},,,Twist,{'overview': 'Twist'},Copper,{'details_table': 'Copper'},Copper,{'overview': 'Copper'},,,,,"4.6  4.6 out of 5 stars    
    19 ratings   


 4.6 out of 5 stars",{'details_table': '4.6  4.6 out of 5 stars    \n    19 ratings   \n\n\n 4.6 out of 5 stars'},,,"September 9, 2006","{'details_table': 'September 9, 2006'}",,,Warranty,{'details_table': 'Warranty'},,,,,,,,,,,⚠️CONFLICT⚠️ 6.0,"{'overview': '6.0', 'details_table': '6.0', 'variant_info': '0', 'variants': '6'}",00032076052874,{'details_table': '00032076052874'},Rough Electrical^wire-terminals,{'details_table': 'Rough Electrical^wire-terminals'},,,,,,,,,Non-Insulated,{'details_table': 'Non-Insulated'},Non-Insulated,{'overview': 'Non-Insulated'},No,{'details_table': 'No'},,,,,,,1,{'details_table': '1'},0.48 ounces,{'details_table': '0.48 ounces'},AML-200,{'details_table': 'AML-200'},,,,,Gardner Bender,{'details_table': 'Gardner Bender'},Steel,{'details_table': 'Steel'},,,Inch,{'details_table': 'Inch'},,,,,,,,,,,,,,,,,,,,,AML-200,{'details_table': 'AML-200'},,,,,,,"4""L x 1.63""W x 0.5""H","{'details_table': '4""L x 1.63""W x 0.5""H'}",,,,,1/4-Inch,{'details_table': '1/4-Inch'},UL,{'details_table': 'UL'},1/4,{'details_table': '1/4'},,,6 AWG  inch. Stud,{'details_table': '6 AWG  inch. Stud'},,,,,221 degree celsius,{'details_table': '221 degree celsius'},,,032076052874,{'details_table': '032076052874'},1.0 Count,{'details_table': '1.0 Count'},,,120 Volts,{'details_table': '120 Volts'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09T6J7M8Y,"28 Gauge Wire (28 AWG) - 32 Foot 2 Pins Tinned Pure Copper Electrical Wire, 2468 85℃ 300V Hookup Red Black Copper Stranded Auto 2 Cord Flexible Extension Cable for LED Ribbon Lamp Light",LTKJ,5.49,4.7,26.0,B09T6J7M8Y_product_details.json,B09T6J7M8Y,{'details_table': 'B09T6J7M8Y'},,,,,,,,,"#142,052inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#719inElectricalWire","{'details_table': '#142,052inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#719inElectricalWire'}",,,,,,,,,"Red,Black","{'overview': 'Red,Black'}",,,,,,,,,,,,,,,,,China,{'details_table': 'China'},,,4.74.7outof5stars26ratings,{'details_table': '4.74.7outof5stars26ratings'},,,"December20,2022","{'details_table': 'December20,2022'}",,,,,,,,,,,,,16.0,{'overview': '16.0'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTKJ,{'details_table': 'LTKJ'},Copper,{'overview': 'Copper'},,,,,,,,,,,,,,,,,MultiStrand,{'overview': 'MultiStrand'},,,,,,,,,,,,,,,,,5.63x43.31x14.45inches;1.76ounces,{'details_table': '5.63x43.31x14.45inches;1.76ounces'},,,,,,,,,,,,,,,,,,,,,,,,,,,300Volts,{'overview': '300Volts'},,,,,,,,,,,,,28,{'features': '28'},32,{'features': '32'},PVC,{'features': 'PVC'},,,,,,,,,,,,,,
B0080404VS,"3M Performance Plus Wire Connector R/Y+JUG, Red/Yellow, Flexible Steel Spring Connectors, Copper, CSA Certified, UL Listed, Jug of 500, 22-8 AWG",3M,87.44,4.8,176.0,B0080404VS_product_details.json,B0080404VS,{'details_table': 'B0080404VS'},,,,,,,,,"#39,123inIndustrial&Scientific(SeeTop100inIndustrial&Scientific)#21inIDCElectricalTerminals#13,123inElectricalEquipment","{'details_table': '#39,123inIndustrial&Scientific(SeeTop100inIndustrial&Scientific)#21inIDCElectricalTerminals#13,123inElectricalEquipment'}",,,,,,,,,Red/Yellow,{'overview': 'Red/Yellow'},,,,,,,,,Twiston,{'overview': 'Twiston'},,,Copper,{'overview': 'Copper'},,,,,,,4.84.8outof5stars176ratings,{'details_table': '4.84.8outof5stars176ratings'},,,"October11,2010","{'details_table': 'October11,2010'}",,,,,,,,,,,,,22.0,{'overview': '22.0'},,,,,,,,,,,,,,,,,,,No,{'details_table': 'No'},,,,,,,,,,,,,80611454515,{'details_table': '80611454515'},3M,{'details_table': '3M'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20x20x30.5inches;4Pounds,{'details_table': '20x20x30.5inches;4Pounds'},,,,,,,,,6AWG,{'overview': '6AWG'},,,,,,,,,,,,,,,,,,,,,UL,{'features': 'UL'},RED,{'features': 'RED'},,,,,,,8,{'features': '8'},,,copper,{'features': 'copper'},,,,,,,,,,,,,,
B0CJF83GTS,"Electric 10/3 SOOW Bulk Cable-10 Gauge 3 Conductor-Rated for 600V, 30A -Water & Oil Resistant Cable for Industrial & Residential Use-Ideal for Generators,Circuits,Data Centers(150 Foot)",energeaster,289.99,4.7,111.0,B0CJF83GTS_product_details.json,B0CJF83GTS,{'details_table': 'B0CJF83GTS'},,,,,,,,,"#72,140inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#380inElectricalWire","{'details_table': '#72,140inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#380inElectricalWire'}",energeaster,{'overview': 'energeaster'},,,,,,,3X10AWG,{'overview': '3X10AWG'},,,,,,,,,,,,,,,,,,,,,4.74.7outof5stars111ratings,{'details_table': '4.74.7outof5stars111ratings'},,,"September20,2023","{'details_table': 'September20,2023'}",,,,,,,,,,,,,⚠️CONFLICT⚠️ 10.0,"{'overview': '10.0', 'variant_info': '10', 'variants': '10'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,energeaster,{'details_table': 'energeaster'},lead,{'overview': 'lead'},,,,,,,,,,,,,,,,,3,{'overview': '3'},,,,,16.5x16x5.5inches;44Pounds,{'details_table': '16.5x16x5.5inches;44Pounds'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flame retardant,{'features': 'Flame retardant'},,,,,,,,,10,{'features': '10'},,,copper,{'features': 'copper'},,,,,,,,,600,{'features': '600'},,,,
B07T6LQSM2,"THE CIMPLE CO Thermostat Wire 18/4, 200 FT, Solid Copper, 18 Gauge, 4 Conductor, Residential, Commercial and Industrial Rated, 60 Meter, Brown",THE CIMPLE CO,116.99,4.8,2788.0,B07T6LQSM2_product_details.json,B07T6LQSM2,{'details_table': 'B07T6LQSM2'},,,,,,,,,"#90,443inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#469inElectricalWire","{'details_table': '#90,443inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#469inElectricalWire'}",THECIMPLECO,{'overview': 'THECIMPLECO'},,,,,,,Brown,{'overview': 'Brown'},,,,,,,,,,,,,,,,,,,,,"4.84.8outof5stars2,788ratings","{'details_table': '4.84.8outof5stars2,788ratings'}",,,"June12,2019","{'details_table': 'June12,2019'}",,,,,,,,,,,,,18.0,{'overview': '18.0'},,,,,,,,,,,,,,,,,,,No,{'details_table': 'No'},,,,,,,,,,,,,CMP-WIRE-THRM-BRN-18_4-200F,{'details_table': 'CMP-WIRE-THRM-BRN-18_4-200F'},THECIMPLECO,{'details_table': 'THECIMPLECO'},Copper,{'overview': 'Copper'},,,,,,,,,,,,,,,,,MultiStrand,{'overview': 'MultiStrand'},,,,,,,,,,,,,,,,,2400x0.36x0.36inches;5.4Pounds,{'details_table': '2400x0.36x0.36inches;5.4Pounds'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL,{'features': 'UL'},brown,{'features': 'brown'},,,,,,,,,200,{'features': '200'},copper,{'features': 'copper'},,,,,,,60,{'features': '60'},,,,,,
B0B9ZJ2LPR,EZ Guard Single Stud Electrical Wire Protector 5 PK,"EZ Electrical System Solutions, LLC",8.98,4.6,198.0,B0B9ZJ2LPR_product_details.json,B0B9ZJ2LPR,{'details_table': 'B0B9ZJ2LPR'},,,No,{'details_table': 'No'},No,{'details_table': 'No'},"#44,579 in Electronics (See Top 100 in Electronics) #3,153 in Electrical Cord Management","{'details_table': '#44,579 in Electronics (See Top 100 in Electronics) #3,153 in Electrical Cord Management'}",,,"EZElectricalSystemSolutions,LLC","{'overview': 'EZElectricalSystemSolutions,LLC'}",,,,,,,"⚠️CONFLICT⚠️ green, silver","{'overview': 'green,silver', 'details_table': 'green, silver'}",,,,,,,,,,,,,,,,,,,"4.6  4.6 out of 5 stars    
    198 ratings   


 4.6 out of 5 stars",{'details_table': '4.6  4.6 out of 5 stars    \n    198 ratings   \n\n\n 4.6 out of 5 stars'},,,"August 21, 2022","{'details_table': 'August 21, 2022'}",,,,,,,,,,,,,,,,,,,stud guards,{'details_table': 'stud guards'},,,,,Hand-Inserted,{'details_table': 'Hand-Inserted'},Hand-Inserted,{'overview': 'Hand-Inserted'},,,,,,,,,,,,,,,8.4 ounces,{'details_table': '8.4 ounces'},1014-05,{'details_table': '1014-05'},,,,,"EZ Electrical System Solutions, LLC","{'details_table': 'EZ Electrical System Solutions, LLC'}","⚠️CONFLICT⚠️ Alloy Steel, Plastic","{'overview': 'AlloySteel,Plastic', 'details_table': 'Alloy Steel, Plastic'}",,,,,,,,,,,,,,,,,,,,,,,,,1014-05,{'details_table': '1014-05'},,,,,,,2.25 x 1.25 x 1.25 inches,{'details_table': '2.25 x 1.25 x 1.25 inches'},,,,,,,,,,,,,Industrial,"{'overview': 'Industrial', 'details_table': 'Industrial'}",,,,,,,,,,,,,,,,,,,UL,{'features': 'UL'},,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0D1RKT3JK,"Wirenco 8/2 NM-B, Non-Metallic, Sheathed Cable, Residential Indoor Wire, Used for Wiring Swiches, Outlets and Other Loads with Dry Applications (120Ft Cut)",wirenco,280.0,,,B0D1RKT3JK_product_details.json,B0D1RKT3JK,{'details_table': 'B0D1RKT3JK'},,,,,,,,,,,wirenco,{'overview': 'wirenco'},,,,,,,Black,{'overview': 'Black'},,,,,,,,,,,,,,,,,USA,{'details_table': 'USA'},,,,,,,"December28,2020","{'details_table': 'December28,2020'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37011-#,{'details_table': '37011-#'},wirenco,{'details_table': 'wirenco'},Copper,{'overview': 'Copper'},,,,,,,,,,,,,,,,,19,{'overview': '19'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600Volts,{'overview': '600Volts'},,,,,,,,,40,{'features': '40'},,,8,{'features': '8'},,,Copper,{'features': 'Copper'},,,,,,,,,,,,,,
B0C1H1B4P4,"trueCABLE Shielded Ethernet Patch Panel Bond & Ground Extension Wire Adapter, NEMA 5-15P 3 Prong Plug, 14 AWG, 6 Foot",TRUE CABLE,28.99,4.8,23.0,B0C1H1B4P4_product_details.json,B0C1H1B4P4,{'details_table': 'B0C1H1B4P4'},,,,,,,,,"#142,961inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#726inElectricalWire","{'details_table': '#142,961inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#726inElectricalWire'}",TRUECABLE,{'overview': 'TRUECABLE'},,,,,Ethernet,{'overview': 'Ethernet'},,,"ShieldedEthernetpatchpanels,HAMradioinstallations,mobilecommunicationsequipment,Ethernetsurgeprotectors","{'overview': 'ShieldedEthernetpatchpanels,HAMradioinstallations,mobilecommunicationsequipment,Ethernetsurgeprotectors'}",,,,,,,Plugin,{'overview': 'Plugin'},,,,,,,Taiwan,{'details_table': 'Taiwan'},,,4.84.8outof5stars23ratings,{'details_table': '4.84.8outof5stars23ratings'},,,"March21,2023","{'details_table': 'March21,2023'}",,,Cat6,{'overview': 'Cat6'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,truePLUG,{'details_table': 'truePLUG'},trueCABLE,{'details_table': 'trueCABLE'},,,,,,,,,,,,,,,,,,,,,,,,,5.08x2.09x2.05inches;2.7ounces,{'details_table': '5.08x2.09x2.05inches;2.7ounces'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL,{'features': 'UL'},green,{'features': 'green'},,,15,{'features': '15'},,,14,{'features': '14'},,,copper,{'features': 'copper'},,,,,,,3.70,{'features': '3.70'},,,,,,
B0CPPWBGT8,"22 Gauge Wire 2 Conductor Electrical Wire, 22 AWG Wire Stranded PVC Cord, 12V Low Voltage/Oxygen-Free Tinned Copper/Flexible 22/2 Cable for Automotive Marine LED Strips Lamps Lighting (30FT/ 9M)",Oududianzi,9.99,4.8,435.0,B0CPPWBGT8_product_details.json,B0CPPWBGT8,{'details_table': 'B0CPPWBGT8'},,,,,,,,,"#5,428inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#17inElectricalWire","{'details_table': '#5,428inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#17inElectricalWire'}",Oududianzi,{'overview': 'Oududianzi'},,,,,,,2C-22AWG,{'overview': '2C-22AWG'},,,2,{'variant_info': '2'},,,,,,,,,,,,,,,,,4.84.8outof5stars435ratings,{'details_table': '4.84.8outof5stars435ratings'},,,"December7,2023","{'details_table': 'December7,2023'}",,,,,,,,,,,,,⚠️CONFLICT⚠️ 22,"{'overview': '22', 'variant_info': '16', 'variants': '18'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yongshun,{'details_table': 'Yongshun'},TinnedCopper,{'overview': 'TinnedCopper'},,,,,,,,,,,,,,,,,MultiStrand,{'overview': 'MultiStrand'},,,,,5.79x5.79x1.5inches;3.84ounces,{'details_table': '5.79x5.79x1.5inches;3.84ounces'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flame retardant,{'features': 'Flame retardant'},Black,{'features': 'Black'},2,{'features': '2'},3,{'features': '3'},,,⚠️CONFLICT⚠️ 12,"{'from_the_manufacturer': '12', 'features': '22'}",⚠️CONFLICT⚠️ 100,"{'from_the_manufacturer': '100', 'features': '30'}",tinned copper,{'features': 'tinned copper'},,,17,{'features': '17'},40,{'features': '40'},⚠️CONFLICT⚠️ 100,"{'from_the_manufacturer': '100', 'features': '2.5'}",300,{'features': '300'},,,2,{'features': '2'}
B07P6GYHVP,"25ft Rope Covered Lamp Twisted Wire,PRUNLLA Vintage 18/2 Industrial Electrical Hemp Rope Cord,18-Gauge Antique Style for Retro Lamp,DIY Projects",PRUNLLA,16.99,4.6,291.0,B07P6GYHVP_product_details.json,B07J4G6C6C,{'details_table': 'B07J4G6C6C'},,,,,,,,,"#173,789inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#870inElectricalWire","{'details_table': '#173,789inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#870inElectricalWire'}",PRUNLLA,{'overview': 'PRUNLLA'},,,,,,,HempRope,{'overview': 'HempRope'},,,,,,,,,,,,,,,,,,,,,4.64.6outof5stars291ratings,{'details_table': '4.64.6outof5stars291ratings'},,,"October8,2018","{'details_table': 'October8,2018'}",,,,,,,,,,,,,18.0,{'overview': '18.0'},,,,,,,,,,,,,,,,,,,No,{'details_table': 'No'},,,,,,,,,,,,,,,PRUNLLA,{'details_table': 'PRUNLLA'},Copper,{'overview': 'Copper'},,,,,,,,,,,,,,,,,2,{'overview': '2'},,,,,8.74x8.07x2.32inches;10.23ounces,{'details_table': '8.74x8.07x2.32inches;10.23ounces'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,{'features': '2'},,,,,18,{'features': '18'},25,"{'from_the_manufacturer': '25', 'features': '25'}",⚠️CONFLICT⚠️ Tinned Copper,"{'from_the_manufacturer': 'Tinned Copper', 'features': 'Copper'}",,,,,105,{'from_the_manufacturer': '105'},⚠️CONFLICT⚠️ 7.62,"{'from_the_manufacturer': '7.62', 'features': '25'}",300,"{'from_the_manufacturer': '300', 'features': '300'}",,,2,{'from_the_manufacturer': '2'}
B003J63662,"Southwire 55213443 100-Feet 12-Gauge 2 Conductor 12/2 Low-Voltage Underground Direct Burial Landscape Lighting Cable, Black",Southwire,84.0,4.7,771.0,B003J63662_product_details.json,B003J63662,{'details_table': 'B003J63662'},,,No,{'details_table': 'No'},No,{'details_table': 'No'},"#209,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #1,049 in Electrical Wire","{'details_table': '#209,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #1,049 in Electrical Wire'}",,,Southwire,"{'overview': 'Southwire', 'details_table': 'Southwire'}",,,,,,,black,"{'overview': 'black', 'details_table': 'black'}",,,,,,,,,,,,,,,China,{'details_table': 'China'},,,"4.7  4.7 out of 5 stars    
    771 ratings   


 4.7 out of 5 stars",{'details_table': '4.7  4.7 out of 5 stars    \n    771 ratings   \n\n\n 4.7 out of 5 stars'},,,"December 13, 2011","{'details_table': 'December 13, 2011'}",,,Warranty,{'details_table': 'Warranty'},,,,,,,,,,,2_gauge,"{'overview': '2_gauge', 'details_table': '2_gauge'}",00032886860485,{'details_table': '00032886860485'},Wire,{'details_table': 'Wire'},,,,,,,,,,,,,No,{'details_table': 'No'},,,,,,,1,{'details_table': '1'},6 pounds,{'details_table': '6 pounds'},55213443,{'details_table': '55213443'},,,,,Southwire,{'details_table': 'Southwire'},⚠️CONFLICT⚠️ Polyvinyl Chloride,"{'overview': 'PolyvinylChloride', 'details_table': 'Polyvinyl Chloride'}",,,,,,,2,{'details_table': '2'},,,,,12 strands,{'details_table': '12 strands'},,,12strands,{'overview': '12strands'},,,,,,,55213443,{'details_table': '55213443'},,,,,,,11 x 10 x 17 inches,{'details_table': '11 x 10 x 17 inches'},,,Round,{'details_table': 'Round'},100 ft,{'details_table': '100 ft'},,,,,,,,,,,,,,,,,032886860485,{'details_table': '032886860485'},,,,,150 Volts,{'details_table': '150 Volts'},,,CSA,{'features': 'CSA'},,,,,,,,,12,{'features': '12'},100,{'features': '100'},,,,,,,,,100,{'features': '100'},,,,,,
